Filename,Time (s),Memory (B),Path
compressed_col_sparse_matrix_utils.cc,1.17,236339200,third_party/ceres-solver/internal/ceres/compressed_col_sparse_matrix_utils.cc
linearProgrammingOSI_X.cpp,3.52,564346880,openMVG/linearProgramming/linearProgrammingOSI_X.cpp
compressed_row_jacobian_writer.cc,2.99,465944576,third_party/ceres-solver/internal/ceres/compressed_row_jacobian_writer.cc
conditioned_cost_function.cc,2.30,394182656,third_party/ceres-solver/internal/ceres/conditioned_cost_function.cc
compressed_row_sparse_matrix.cc,4.03,437043200,third_party/ceres-solver/internal/ceres/compressed_row_sparse_matrix.cc
main_pano_converter.cpp,6.03,695058432,openMVG_Samples/image_spherical_to_pinholes/main_pano_converter.cpp
Linker/,0.02,21741568,Linker/
linearProgramming_test.cpp,3.78,547291136,openMVG/linearProgramming/linearProgramming_test.cpp
Linker/,0.12,72269824,Linker/
global_translations_fromTij.cpp,3.66,547586048,openMVG/linearProgramming/lInfinityCV/global_translations_fromTij.cpp
conjugate_gradients_solver.cc,4.06,494993408,third_party/ceres-solver/internal/ceres/conjugate_gradients_solver.cc
regions_matcher.cpp,31.32,1368457216,openMVG/matching/regions_matcher.cpp
resection.cpp,4.22,591659008,openMVG/linearProgramming/lInfinityCV/resection.cpp
coordinate_descent_minimizer.cc,4.34,551321600,third_party/ceres-solver/internal/ceres/coordinate_descent_minimizer.cc
resection_kernel.cpp,4.02,586629120,openMVG/linearProgramming/lInfinityCV/resection_kernel.cpp
features_affine_demo.cpp,15.53,1244774400,openMVG_Samples/features_affine_demo/features_affine_demo.cpp
Linker/,0.03,23576576,Linker/
tijsAndXis_From_xi_Ri.cpp,3.66,543457280,openMVG/linearProgramming/lInfinityCV/tijsAndXis_From_xi_Ri.cpp
corrector.cc,2.22,385040384,third_party/ceres-solver/internal/ceres/corrector.cc
covariance.cc,0.85,230195200,third_party/ceres-solver/internal/ceres/covariance.cc
global_quantile_gain_offset_alignment_test.cpp,5.72,650608640,openMVG/color_harmonization/global_quantile_gain_offset_alignment_test.cpp
